Remarkable Fake News,Text,
1,Donald Trump sent his own plane to transport 200 stranded marines,
2,"FBI director received millions from Clinton Foundation, his brother’s law firm does Clinton’s taxes",
3,"Pope Francis shocks world, endorses Donald Trump for president, Releases Statement",
4,Breaking News: China will admit coronavirus coming from its P4 Lab,
5,Coronavirus Bioweapon – How China Stole Coronavirus From Canada And Weaponized It,
6,Evidence Surfaces That The FBI Planned And Executed January 6 Capitol Riot,
7,FBI agent suspected in Hillary email leaks found dead in apartment in murder-suicide,
8,"Our house is burning. Literally. The Amazon rain forest - the lungs which produces 20% of our planet’s oxygen - is on fire. It is an international crisis. Members of the G7 Summit, let's discuss this emergency first order in two days! #ActForTheAmazon",
9,"Israeli Defense Minister: If Pakistan sends ground troops into Syria on any pretext, we will destroy this country with a nuclear attack",
10,Obama Signs Executive Order Banning The Pledge Of Allegiance In Schools Nationwide,
11,Bill and Hillary Clinton were reported to be using a Pizza restaurant as a front for a pedophile sex ring.,
12,Rupaul claims Trump touched him inappropriately in the 1990s,
13,US Bacon Reserves Hit 50 Year Low,
14,"Yoko Ono: ""I Had An Affair With Hillary Clinton In The 70's""",
15,“Trump’s grandfather was a pimp and tax evader; his father a member of the KKK”,
16,IT'S OVER: Hillary's ISIS Email Just Leaked & It's Worse than Anyone Could Have Imagined,
17,Trump offering freeone-way tickets to Africa & Mexico for those who wanna leave America,
18,SURGEONS ADMIT THAT MAMMOGRAPHY IS OUTDATED AND HARMFUL TO WOMEN,
19,HOMEOPATHIC TREATMENT OF CORONAVIRUS,
20,Lottery-winning woman arrested for relieving herself on her boss’s desk,
,,
,,
